m/z,var_m/z,max_int,sum_int,RT,minRT,maxRT,part_ID,EIC_ID,peak_ID,Score
168.9459414,1.65E-09,31899084,165021759.1,1270.89,1260.02,1296.16,2242,2692,2343,0
223.0451304,4.97E-09,31847262,72514958,1003.6,1001.52,1006.9,3346,3847,3728,0
180.0865736,2.23E-09,31783798,179381353.6,641.304,626.103,662.031,2470,2940,2656,0
223.0451355,1.55E-10,31773966,108395478,1021.57,1019.22,1026.01,3346,3847,3729,0
188.0706448,3.46E-08,31482638,68753213.36,558.698,551.921,569.537,2643,3122,2870,0
104.0705346,1.46E-09,31045008,73135847.88,681.249,665.048,692.396,962,1293,759,0
84.04438019,6.65E-11,29655284,94916980.38,662.031,652.809,669.738,618,913,435,0
70.06518731,5.45E-10,29415032,89572115.05,631.736,619.73,649.013,318,585,250,0
114.0913258,2.95E-10,29101764,49301534.06,245.063,238.437,266.215,1143,1493,972,0
315.142292,1.12E-07,29058236,58468082.94,665.048,659.686,676.907,5388,5937,6054,0
106.9715006,8.30E-10,28163770,234044489.2,1268.81,1250.82,1299.93,1019,1365,850,0
337.1714668,6.07E-09,27709100,92387152.25,731.657,709.665,746.736,5869,6408,6556,0
168.9459401,1.71E-09,27572848,455171898.8,1173.91,1081.29,1178.75,2242,2692,2344,0
133.0800552,4.68E-09,27495480,65883490.9,665.048,657.427,692.396,1526,1936,1518,0
787.6037423,4.74E-07,26748984,53716188.4,224.348,218.534,256.974,12101,12357,12227,0
106.9714801,1.96E-10,26448754,139812266,1196.12,1190.48,1204.92,1019,1365,851,0
106.971502,3.44E-10,25770730,167115104,1238.47,1224.98,1240.95,1019,1365,852,0
147.0763685,8.99E-10,25749204,177413395,686.483,674.698,695.557,1818,2248,1851,0
177.1425877,6.85E-09,24953942,82147547.7,599.566,591.041,609.268,2421,2889,2601,0
146.0188065,5.82E-10,24650996,216539935,1235.18,1227.46,1254.11,1785,2211,1807,0
84.04439354,5.30E-10,24375458,70405117.56,601.776,591.041,619.73,618,913,436,0
146.0187927,3.03E-10,24262958,102817818,1207.67,1201.89,1213.44,1785,2211,1808,0
82.0263265,3.10E-10,24105644,68591454,1229.94,1227.46,1232.97,584,873,404,0
82.02631302,2.39E-10,24100676,203724130,1221.83,1198.6,1224.98,584,873,405,0
146.0188141,1.09E-09,23988036,87567640,1221.83,1216.05,1224.98,1785,2211,1809,0
404.2065239,7.77E-08,23888046,40436372.06,191.652,185.057,206.146,7317,7829,8016,0
82.02631632,1.94E-11,23765562,66426848,1235.18,1235.18,1240.95,584,873,406,0
282.1181205,6.76E-08,23656356,36315284.19,591.041,586.555,605.979,4581,5112,5193,0
508.005049,3.75E-05,23461134,55089176.5,605.979,599.566,622.214,8922,9367,9519,0
270.9775085,1.86E-09,23292748,81846228,1229.94,1227.46,1235.18,4334,4864,4907,0
713.0663656,8.69E-09,23157632,62314722,481.614,479.522,484.11,11039,11369,11415,0
133.031695,1.19E-08,22967798,53070261.63,591.041,587.749,601.776,1519,1930,1507,0
713.0663757,6.21E-09,22810868,86199144,488.836,487.153,492.876,11039,11369,11416,0
147.112738,1.86E-10,22590254,104611726,1091.72,1083.24,1091.72,1824,2254,1857,0
296.0455246,2.10E-09,22348462,63238169,991.692,988.529,996.539,4901,5440,5559,0
713.0666911,4.66E-08,22313914,100288915,517.037,511.907,532.294,11039,11369,11417,0
808.5844116,2.37E-07,22101860,41257704.05,221.037,215.229,233.587,12371,12620,12424,0
613.1589268,1.48E-07,22018786,55031747.66,617.52,612.556,626.103,10078,10454,10619,0
270.9773145,2.07E-07,21889548,190066276,1240.95,1238.47,1284.09,4334,4864,4908,0
132.0767483,8.92E-10,21468862,84333221.91,674.698,674.698,720.426,1503,1911,1482,0
399.1444721,2.20E-08,21423486,109554062.5,781.127,743.429,817.497,7209,7721,7910,0
296.0455119,2.17E-09,21421758,49495805,1012.01,1008.72,1014.1,4901,5440,5560,0
147.1208572,2.13E-09,21417992,52798982.96,674.698,667.527,689.775,1826,2256,1859,0
74.09641181,4.14E-10,21321184,39118793.5,0.441263,0.441263,21.2801,423,701,294,0
496.3398394,1.53E-07,21184234,26502028.59,259.609,259.609,278.943,8757,9204,9371,0
270.9775238,4.66E-10,21149482,39790808,1224.98,1221.83,1224.98,4334,4864,4909,0
434.3123372,5.70E-08,21089454,49513410.77,185.057,178.461,211.93,7839,8327,8508,0
296.0455526,3.10E-10,20958874,42138124.5,982.139,978.976,984.089,4901,5440,5561,0
147.112738,3.03E-10,20891022,96933016,1079.61,1073.23,1081.29,1824,2254,1858,0
782.568315,9.13E-07,20784856,37756040.89,224.348,218.534,248.374,12026,12288,12187,0
298.0965958,8.54E-10,20413448,76163256,284.359,283.025,289.196,4954,5496,5622,0
298.0966187,2.61E-09,20335822,87991615.75,274.773,262.912,276.993,4954,5496,5623,0
524.3711395,4.80E-07,20301278,21237303.31,259.609,259.609,269.251,9103,9535,9679,0
136.0756666,4.68E-09,20279456,54838491.94,604.658,599.566,619.73,1583,2002,1597,0
298.0966034,4.66E-10,20253826,39408954,278.943,278.943,281.298,4954,5496,5624,0
165.0545894,3.79E-09,20053600,53884180.69,604.658,599.566,615.171,2166,2610,2249,0
178.086132,9.83E-09,20015226,56770502,657.427,649.013,665.048,2434,2903,2611,0
198.0872269,1.34E-08,19945616,47090762.23,551.921,544.448,565.247,2834,3316,3100,0
206.100313,1.48E-08,19864962,44376341.64,558.698,551.921,569.537,3026,3518,3345,0
185.0765754,1.99E-09,19846204,92815655.5,676.907,674.698,695.557,2586,3063,2797,0
615.1751556,3.54E-07,19841460,33540400,596.678,591.041,599.566,10097,10472,10631,0
718.5378876,1.57E-08,19653946,41074482.99,233.587,227.656,248.374,11114,11438,11499,0
711.0694173,1.61E-08,19484158,53046341,481.614,479.522,484.11,11003,11336,11374,0
330.1413523,1.78E-06,19213184,37988339.28,662.031,654.542,667.527,5715,6259,6398,0
242.1261488,8.98E-09,19176892,61932427.25,665.048,657.427,672.218,3744,4262,4207,0
250.9488953,2.96E-09,19004536,84859961,1213.44,1210.55,1221.83,3918,4435,4415,0
250.9489187,2.17E-09,18941164,53241979,1229.94,1227.46,1232.97,3918,4435,4416,0
205.1294765,5.52E-09,18915622,62626994.5,662.031,652.809,674.698,3007,3499,3326,0
711.0694784,1.11E-07,18791172,83456159.2,514.406,511.907,532.294,11003,11336,11375,0
274.9361735,1.48E-07,18758304,127635422.4,1270.89,1250.82,1292.24,4427,4954,5027,0
711.0694122,1.83E-08,18588964,71399014,487.153,487.153,492.876,11003,11336,11376,0
281.0481262,8.38E-09,18500818,45391677,1541.68,1539.73,1543.63,4554,5083,5164,0
294.9387219,2.42E-09,18378098,271950919.1,1216.05,1154.63,1221.83,4873,5412,5527,0
144.1018848,1.23E-09,18354186,54644129.94,659.686,646.13,665.048,1743,2168,1766,0
160.0425968,1.46E-09,18262482,40892841.69,208.634,202.979,224.348,2061,2503,2125,0
389.179306,6.52E-09,18247824,32303975.25,667.527,665.048,672.218,7000,7513,7686,0
746.568627,2.49E-07,18155076,46128505.66,230.688,221.037,256.974,11485,11782,11759,0
250.9876556,4.10E-09,18130334,85690353,1716.97,1710.44,1721.82,3920,4437,4417,0
294.9387756,1.58E-09,18107828,83818447,1229.94,1224.98,1235.18,4873,5412,5528,0
281.0481628,6.52E-10,18050880,77301612,1578.65,1576.7,1586.53,4554,5083,5165,0
625.1152954,4.47E-08,17937868,34929310.5,587.749,586.555,591.041,10201,10570,10735,0
715.0635512,1.27E-07,17936536,78802718.52,517.037,511.907,532.294,11070,11398,11450,0
304.0973663,6.24E-09,17822012,72185147.5,676.907,672.218,684.27,5116,5659,5786,0
376.2578354,6.86E-06,17782690,27971714.1,185.057,181.759,202.979,6745,7270,7391,0
715.0634359,1.61E-08,17752420,48894094,481.614,479.522,484.11,11070,11398,11451,0
165.0134163,6.79E-10,17678234,64686438,1229.94,1224.98,1232.97,2162,2606,2242,0
715.0636597,0,17621558,32413847,477.022,474.53,477.022,11070,11398,11452,0
133.0606283,3.06E-08,17493268,36673776.88,657.427,652.809,665.048,1522,1933,1511,0
250.9876404,6.98E-10,17432764,42221354,1703.36,1701.54,1705.72,3920,4437,4418,0
294.9386419,2.77E-08,17261816,84507346.84,1257.4,1254.11,1292.24,4873,5412,5529,0
171.0843811,2.18E-09,17072268,147238782.6,373.005,350.541,414.039,2282,2742,2419,0
151.0620422,1.25E-06,17055876,23080953.14,594.331,591.041,605.979,1903,2341,1959,0
167.0484043,4.12E-09,16927960,30761928.96,609.268,604.658,626.103,2203,2649,2294,0
210.9564819,6.22E-09,16888828,96945641.74,1257.4,1254.11,1286.85,3116,3609,3442,0
156.0767639,3.96E-10,16876144,53232455,681.249,681.249,692.396,1985,2424,2043,0
473.2644871,2.54E-07,16874560,34100609.13,188.355,185.057,202.979,8468,8936,9129,0
165.0134125,4.66E-10,16853358,32920230,1235.18,1235.18,1238.47,2162,2606,2243,0
