LipidIon,Class,FattyAcid,Ion,Formula,ObsMz,Rt,Pol.,z,ObsMass,CalcMz,Grade
PE(16:0p/20:3)+H,PE,(16:0p/20:3),M+H,C41 H77 O7 N1 P1,726.54205,22.125146,P,1,726.5425985,726.5432185,B
PE(18:1p/18:1)+H,PE,(18:1p/18:1),M+H,C41 H79 O7 N1 P1,728.558052,22.65094,P,1,728.5586005,728.5588685,B
PC(16:1p/17:0)+H,PC,(16:1p/17:0),M+H,C41 H81 O7 N1 P1,730.571109,23.052047,P,1,730.5716575,730.5745185,B
PE(18:0p/18:1)+H,PE,(18:0p/18:1),M+H,C41 H81 O7 N1 P1,730.573906,24.213058,P,1,730.5744545,730.5745185,B
SM(d15:0/18:1)+HCOO,SM,(d15:0/18:1),M+HCOO,C39 H78 O8 N2 P1,733.550519,18.586124,N,1,733.5499705,733.5501295,B
SM(d17:1/16:0)+HCOO,SM,(d17:1/16:0),M+HCOO,C39 H78 O8 N2 P1,733.551062,19.140799,N,1,733.5505135,733.5501295,B
PC(14:0p/16:0)+HCOO,PC,(14:0p/16:0),M+HCOO,C39 H77 O9 N1 P1,734.537295,20.334835,N,1,734.5367465,734.5341455,B
PE(16:1/20:5)+H,PE,(16:1/20:5),M+H,C41 H71 O8 N1 P1,736.489774,17.619631,P,1,736.4903225,736.4911835,B
PE(16:0/20:5)+H,PE,(16:0/20:5),M+H,C41 H73 O8 N1 P1,738.505836,19.271282,P,1,738.5063845,738.5068335,B
PE(16:1/20:4)+H,PE,(16:1/20:4),M+H,C41 H73 O8 N1 P1,738.505945,18.733363,P,1,738.5064935,738.5068335,B
PE(16:0p/21:3)+H,PE,(16:0p/21:3),M+H,C42 H79 O7 N1 P1,740.558043,22.812711,P,1,740.5585915,740.5588685,B
dMePE(16:1/18:1)-H,dMePE,(16:1/18:1),M-H,C41 H77 O8 N1 P1,742.53657,19.713262,N,1,742.5360215,742.5392305,B
PE(18:1p/19:1)+H,PE,(18:1p/19:1),M+H,C42 H81 O7 N1 P1,742.573086,23.500718,P,1,742.5736345,742.5745185,B
ChE(24:6)+NH4,ChE,(24:6),M+NH4,C51 H84 O2 N1,742.650095,29.06061,P,1,742.6506435,742.6496555,B
PE(16:0p/21:1)+H,PE,(16:0p/21:1),M+H,C42 H83 O7 N1 P1,744.590729,24.946883,P,1,744.5912775,744.5901685,B
PE(18:0p/19:1)+H,PE,(18:0p/19:1),M+H,C42 H83 O7 N1 P1,744.59095,25.470456,P,1,744.5914985,744.5901685,B
PG(16:1/18:1)-H,PG,(16:1/18:1),M-H,C40 H74 O10 N0 P1,745.502653,19.184645,N,1,745.5021045,745.5025115,B
SM(d16:1/18:1)+HCOO,SM,(d16:1/18:1),M+HCOO,C40 H78 O8 N2 P1,745.551042,18.396132,N,1,745.5504935,745.5501295,B
SM(d18:1/16:1)+HCOO,SM,(d18:1/16:1),M+HCOO,C40 H78 O8 N2 P1,745.55109,17.837661,N,1,745.5505415,745.5501295,B
SM(d18:1/16:0)+HCOO,SM,(d18:1/16:0),M+HCOO,C40 H80 O8 N2 P1,747.566667,20.043076,N,1,747.5661185,747.5657795,B
SM(d16:0/18:1)+HCOO,SM,(d16:0/18:1),M+HCOO,C40 H80 O8 N2 P1,747.566847,20.597314,N,1,747.5662985,747.5657795,B
PE(18:1p/20:5)+H,PE,(18:1p/20:5),M+H,C43 H75 O7 N1 P1,748.526504,19.690183,P,1,748.5270525,748.5275685,B
ChE(24:3)+NH4,ChE,(24:3),M+NH4,C51 H90 O2 N1,748.695684,29.976917,P,1,748.6962325,748.6966055,B
PE(18:1p/20:4)+H,PE,(18:1p/20:4),M+H,C43 H77 O7 N1 P1,750.54202,20.581074,P,1,750.5425685,750.5432185,B
PE(16:0p/22:5)+H,PE,(16:0p/22:5),M+H,C43 H77 O7 N1 P1,750.542362,21.11646,P,1,750.5429105,750.5432185,B
PE(18:2p/20:2)-H,PE,(18:2p/20:2),M-H,C43 H77 O7 N1 P1,750.544695,22.909122,N,1,750.5441465,750.5443155,B
ChE(24:2)+NH4,ChE,(24:2),M+NH4,C51 H92 O2 N1,750.711871,30.493988,P,1,750.7124195,750.7122555,B
PG(16:0/17:1)+NH4,PG,(16:0/17:1),M+NH4,C39 H79 O10 N1 P1,752.549573,20.897731,P,1,752.5501215,752.5436135,B
PE(18:0p/20:4)+H,PE,(18:0p/20:4),M+H,C43 H79 O7 N1 P1,752.557227,22.727251,P,1,752.5577755,752.5588685,B
PE(16:0p/22:4)+H,PE,(16:0p/22:4),M+H,C43 H79 O7 N1 P1,752.557694,22.15533,P,1,752.5582425,752.5588685,B
DG(26:0/18:1)+NH4,DG,(26:0/18:1),M+NH4,C47 H94 O5 N1,752.71125,28.630135,P,1,752.7117985,752.7126505,B
ChE(24:1)+NH4,ChE,(24:1),M+NH4,C51 H94 O2 N1,752.727218,31.053586,P,1,752.7277665,752.7279055,B
PE(16:0p/22:3)+H,PE,(16:0p/22:3),M+H,C43 H81 O7 N1 P1,754.573104,23.745635,P,1,754.5736525,754.5745185,B
PC(16:2/18:1)+H,PC,(16:2/18:1),M+H,C42 H79 O8 N1 P1,756.551189,21.801288,P,1,756.5517375,756.5537835,B
PE(20:0p/18:1)-H,PE,(20:0p/18:1),M-H,C43 H83 O7 N1 P1,756.586321,24.275541,N,1,756.5857725,756.5912655,B
PE(18:1p/20:1)+H,PE,(18:1p/20:1),M+H,C43 H83 O7 N1 P1,756.589306,24.294001,P,1,756.5898545,756.5901685,B
PE(18:0p/20:2)+H,PE,(18:0p/20:2),M+H,C43 H83 O7 N1 P1,756.589606,25.357704,P,1,756.5901545,756.5901685,B
PS(16:1/18:1)-H,PS,(16:1/18:1),M-H,C40 H73 O10 N1 P1,758.497902,19.218014,N,1,758.4973535,758.4977605,B
PE(18:0p/20:1)+H,PE,(18:0p/20:1),M+H,C43 H85 O7 N1 P1,758.604388,26.959034,P,1,758.6049365,758.6058185,B
PE(16:0p/22:1)+H,PE,(16:0p/22:1),M+H,C43 H85 O7 N1 P1,758.604688,25.894302,P,1,758.6052365,758.6058185,B
PG(17:1/18:1)-H,PG,(17:1/18:1),M-H,C41 H76 O10 N0 P1,759.517162,18.684609,N,1,759.5166135,759.5181615,B
PS(18:0/16:1)-H,PS,(18:0/16:1),M-H,C40 H75 O10 N1 P1,760.51385,21.139987,N,1,760.5133015,760.5134105,B
PE(16:1/22:6)+H,PE,(16:1/22:6),M+H,C43 H73 O8 N1 P1,762.503871,17.709802,P,1,762.5044195,762.5068335,B
PC(16:0e/16:0)+HCOO,PC,(16:0e/16:0),M+HCOO,C41 H83 O9 N1 P1,764.582613,22.309657,N,1,764.5820645,764.5810955,B
PE(18:0/20:5)+H,PE,(18:0/20:5),M+H,C43 H77 O8 N1 P1,766.53401,21.025277,P,1,766.5345585,766.5381335,B
PE(18:0p/21:3)+H,PE,(18:0p/21:3),M+H,C44 H83 O7 N1 P1,768.588817,24.224391,P,1,768.5893655,768.5901685,B
PG(18:1/18:3)-H,PG,(18:1/18:3),M-H,C42 H74 O10 N0 P1,769.502393,17.767917,N,1,769.5018445,769.5025115,B
PG(16:1/20:3)-H,PG,(16:1/20:3),M-H,C42 H74 O10 N0 P1,769.502495,17.228734,N,1,769.5019465,769.5025115,B
PE(18:1p/21:1)+H,PE,(18:1p/21:1),M+H,C44 H85 O7 N1 P1,770.604471,25.369052,P,1,770.6050195,770.6058185,B
PG(18:1/18:2)-H,PG,(18:1/18:2),M-H,C42 H76 O10 N0 P1,771.518962,18.67332,N,1,771.5184135,771.5181615,B
PE(18:0p/21:1)+H,PE,(18:0p/21:1),M+H,C44 H87 O7 N1 P1,772.619497,27.009653,P,1,772.6200455,772.6214685,B
PG(18:1/18:1)-H,PG,(18:1/18:1),M-H,C42 H78 O10 N0 P1,773.534294,19.706466,N,1,773.5337455,773.5338115,B
PE(18:1p/22:6)+H,PE,(18:1p/22:6),M+H,C45 H77 O7 N1 P1,774.542162,19.966401,P,1,774.5427105,774.5432185,B
