LipidIon,Class,FattyAcid,Ion,Formula,ObsMz,Rt,Pol.,z,ObsMass,CalcMz,Grade
PE(18:0p/18:1)-H,PE,(18:0p/18:1),M-H,C41 H79 O7 N1 P1,728.560857,24.636539,N,1,728.5603085,728.5599655,A
PE(17:0/18:1)-H,PE,(17:0/18:1),M-H,C40 H77 O8 N1 P1,730.540564,22.474475,N,1,730.5400155,730.5392305,A
PE(16:1/20:5)-H,PE,(16:1/20:5),M-H,C41 H69 O8 N1 P1,734.476241,17.504514,N,1,734.4756925,734.4766305,A
PE(16:0/20:5)-H,PE,(16:0/20:5),M-H,C41 H71 O8 N1 P1,736.492135,19.372311,N,1,736.4915865,736.4922805,A
PE(16:1/20:4)-H,PE,(16:1/20:4),M-H,C41 H71 O8 N1 P1,736.493325,18.206583,N,1,736.4927765,736.4922805,A
PE(16:1/20:4)+H,PE,(16:1/20:4),M+H,C41 H73 O8 N1 P1,738.505834,18.717925,P,1,738.5063825,738.5068335,A
PE(16:0/20:5)+H,PE,(16:0/20:5),M+H,C41 H73 O8 N1 P1,738.505964,19.252538,P,1,738.5065125,738.5068335,A
PE(16:0/20:4)-H,PE,(16:0/20:4),M-H,C41 H73 O8 N1 P1,738.508855,19.92248,N,1,738.5083065,738.5079305,A
PE(16:0p/21:3)-H,PE,(16:0p/21:3),M-H,C42 H77 O7 N1 P1,738.544958,22.714475,N,1,738.5444095,738.5443155,A
PE(16:0/20:4)+H,PE,(16:0/20:4),M+H,C41 H75 O8 N1 P1,740.521555,20.298345,P,1,740.5221035,740.5224835,A
PE(18:1/18:2)-H,PE,(18:1/18:2),M-H,C41 H75 O8 N1 P1,740.523905,21.015735,N,1,740.5233565,740.5235805,A
PE(16:0p/21:2)-H,PE,(16:0p/21:2),M-H,C42 H79 O7 N1 P1,740.561067,23.844996,N,1,740.5605185,740.5599655,A
PE(18:1/18:1)-H,PE,(18:1/18:1),M-H,C41 H77 O8 N1 P1,742.539712,21.874214,N,1,742.5391635,742.5392305,A
PE(16:0p/21:1)-H,PE,(16:0p/21:1),M-H,C42 H81 O7 N1 P1,742.574974,25.110789,N,1,742.5744255,742.5756155,A
PE(18:1/18:1)+H,PE,(18:1/18:1),M+H,C41 H79 O8 N1 P1,744.553213,21.939333,P,1,744.5537615,744.5537835,A
PE(18:0/18:1)-H,PE,(18:0/18:1),M-H,C41 H79 O8 N1 P1,744.555419,23.734673,N,1,744.5548705,744.5548805,A
PC(16:2/14:0)+HCOO,PC,(16:2/14:0),M+HCOO,C39 H73 O10 N1 P1,746.501073,17.684527,N,1,746.5005245,746.4977605,A
PE(18:1p/20:5)-H,PE,(18:1p/20:5),M-H,C43 H73 O7 N1 P1,746.513598,19.376863,N,1,746.5130495,746.5130155,A
PE(18:0/18:1)+H,PE,(18:0/18:1),M+H,C41 H81 O8 N1 P1,746.568941,23.863476,P,1,746.5694895,746.5694335,A
PC(16:1/14:0)+HCOO,PC,(16:1/14:0),M+HCOO,C39 H75 O10 N1 P1,748.513761,18.25945,N,1,748.5132125,748.5134105,A
PE(18:1p/20:4)-H,PE,(18:1p/20:4),M-H,C43 H75 O7 N1 P1,748.529143,21.12002,N,1,748.5285945,748.5286655,A
PE(18:1p/20:3)-H,PE,(18:1p/20:3),M-H,C43 H77 O7 N1 P1,750.544648,22.197456,N,1,750.5440995,750.5443155,A
PE(18:0p/20:4)-H,PE,(18:0p/20:4),M-H,C43 H77 O7 N1 P1,750.544773,22.758317,N,1,750.5442245,750.5443155,A
PE(16:0p/22:3)-H,PE,(16:0p/22:3),M-H,C43 H79 O7 N1 P1,752.560057,23.300771,N,1,752.5595085,752.5599655,A
PE(18:0p/20:3)-H,PE,(18:0p/20:3),M-H,C43 H79 O7 N1 P1,752.560192,23.838227,N,1,752.5596435,752.5599655,A
PE(18:1p/20:1)-H,PE,(18:1p/20:1),M-H,C43 H81 O7 N1 P1,754.575723,24.424928,N,1,754.5751745,754.5756155,A
PE(18:0p/20:2)-H,PE,(18:0p/20:2),M-H,C43 H81 O7 N1 P1,754.576434,25.562147,N,1,754.5758855,754.5756155,A
PE(18:1/19:1)-H,PE,(18:1/19:1),M-H,C42 H79 O8 N1 P1,756.554937,22.432415,N,1,756.5543885,756.5548805,A
PE(16:0p/22:1)-H,PE,(16:0p/22:1),M-H,C43 H83 O7 N1 P1,756.59212,26.133247,N,1,756.5915715,756.5912655,A
PS(16:1/18:1)-H,PS,(16:1/18:1),M-H,C40 H73 O10 N1 P1,758.496432,19.420686,N,1,758.4958835,758.4977605,A
PE(18:0p/20:0)-H,PE,(18:0p/20:0),M-H,C43 H85 O7 N1 P1,758.608355,27.308575,N,1,758.6078065,758.6069155,A
PE(16:1/22:6)-H,PE,(16:1/22:6),M-H,C43 H71 O8 N1 P1,760.491418,17.878258,N,1,760.4908695,760.4922805,A
PS(16:0/18:1)-H,PS,(16:0/18:1),M-H,C40 H75 O10 N1 P1,760.51406,20.825684,N,1,760.5135115,760.5134105,A
PE(16:1/22:6)+H,PE,(16:1/22:6),M+H,C43 H73 O8 N1 P1,762.505745,17.802071,P,1,762.5062935,762.5068335,A
PE(16:0/22:6)-H,PE,(16:0/22:6),M-H,C43 H73 O8 N1 P1,762.507261,19.54088,N,1,762.5067125,762.5079305,A
PE(18:1/20:5)-H,PE,(18:1/20:5),M-H,C43 H73 O8 N1 P1,762.509042,18.994071,N,1,762.5084935,762.5079305,A
PE(18:1/20:5)+H,PE,(18:1/20:5),M+H,C43 H75 O8 N1 P1,764.52109,18.865265,P,1,764.5216385,764.5224835,A
PE(16:0/22:6)+H,PE,(16:0/22:6),M+H,C43 H75 O8 N1 P1,764.521675,19.393073,P,1,764.5222235,764.5224835,A
PE(18:1/20:4)-H,PE,(18:1/20:4),M-H,C43 H75 O8 N1 P1,764.523614,20.097105,N,1,764.5230655,764.5235805,A
PC(16:0e/16:0)+HCOO,PC,(16:0e/16:0),M+HCOO,C41 H83 O9 N1 P1,764.584057,22.944267,N,1,764.5835085,764.5810955,A
PE(18:1/20:3)-H,PE,(18:1/20:3),M-H,C43 H77 O8 N1 P1,766.539091,21.154783,N,1,766.5385425,766.5392305,A
PE(18:0/20:4)-H,PE,(18:0/20:4),M-H,C43 H77 O8 N1 P1,766.539441,21.689466,N,1,766.5388925,766.5392305,A
PE(18:0p/21:3)-H,PE,(18:0p/21:3),M-H,C44 H81 O7 N1 P1,766.575614,24.217859,N,1,766.5750655,766.5756155,A
TG(16:1/14:0/14:0)+NH4,TG,(16:1/14:0/14:0),M+NH4,C47 H92 O6 N1,766.690456,28.024903,P,1,766.6910045,766.6919155,A
PE(18:0/20:4)+H,PE,(18:0/20:4),M+H,C43 H79 O8 N1 P1,768.552655,21.894981,P,1,768.5532035,768.5537835,A
PE(18:0/20:3)-H,PE,(18:0/20:3),M-H,C43 H79 O8 N1 P1,768.555235,22.806717,N,1,768.5546865,768.5548805,A
TG(16:0/14:0/14:0)+NH4,TG,(16:0/14:0/14:0),M+NH4,C47 H94 O6 N1,768.706679,28.583286,P,1,768.7072275,768.7075655,A
PE(18:0/20:3)+H,PE,(18:0/20:3),M+H,C43 H81 O8 N1 P1,770.568939,22.960502,P,1,770.5694875,770.5694335,A
PE(18:0/20:2)-H,PE,(18:0/20:2),M-H,C43 H81 O8 N1 P1,770.570892,24.482438,N,1,770.5703435,770.5705305,A
PC(16:1/16:2)+HCOO,PC,(16:1/16:2),M+HCOO,C41 H75 O10 N1 P1,772.513951,17.873706,N,1,772.5134025,772.5134105,A
PE(18:1p/22:6)-H,PE,(18:1p/22:6),M-H,C45 H75 O7 N1 P1,772.529258,20.513893,N,1,772.5287095,772.5286655,A
PE(18:0/20:1)-H,PE,(18:0/20:1),M-H,C43 H83 O8 N1 P1,772.587058,25.051045,N,1,772.5865095,772.5861805,A
PC(16:1/16:1)+HCOO,PC,(16:1/16:1),M+HCOO,C41 H77 O10 N1 P1,774.529726,18.420594,N,1,774.5291775,774.5290605,A
PE(18:1p/22:5)-H,PE,(18:1p/22:5),M-H,C45 H77 O7 N1 P1,774.544442,21.055041,N,1,774.5438935,774.5443155,A
PE(18:0/20:1)+H,PE,(18:0/20:1),M+H,C43 H85 O8 N1 P1,774.59984,25.741795,P,1,774.6003885,774.6007335,A
PC(16:0/16:1)+HCOO,PC,(16:0/16:1),M+HCOO,C41 H79 O10 N1 P1,776.545231,19.957305,N,1,776.5446825,776.5447105,A
PE(18:0p/22:5)-H,PE,(18:0p/22:5),M-H,C45 H79 O7 N1 P1,776.560558,23.077246,N,1,776.5600095,776.5599655,A
PC(16:0/16:0)+HCOO,PC,(16:0/16:0),M+HCOO,C41 H81 O10 N1 P1,778.561003,21.597189,N,1,778.5604545,778.5603605,A
PE(18:0p/22:4)-H,PE,(18:0p/22:4),M-H,C45 H81 O7 N1 P1,778.576241,24.160282,N,1,778.5756925,778.5756155,A
PE(18:0p/22:3)-H,PE,(18:0p/22:3),M-H,C45 H83 O7 N1 P1,780.592337,25.308824,N,1,780.5917885,780.5912655,A
PE(18:1p/22:1)-H,PE,(18:1p/22:1),M-H,C45 H85 O7 N1 P1,782.607697,26.446277,N,1,782.6071485,782.6069155,A
PE(18:0p/22:1)-H,PE,(18:0p/22:1),M-H,C45 H87 O7 N1 P1,784.623576,27.028383,N,1,784.6230275,784.6225655,A
CerG1(d18:1/22:0)+H,CerG1,(d18:1/22:0),M+H,C46 H90 O8 N1,784.664768,25.232868,P,1,784.6653165,784.6660955,A
PE(18:2/22:6)-H,PE,(18:2/22:6),M-H,C45 H73 O8 N1 P1,786.50619,18.32826,N,1,786.5056415,786.5079305,A
PE(18:1/22:6)-H,PE,(18:1/22:6),M-H,C45 H75 O8 N1 P1,788.523115,19.859838,N,1,788.5225665,788.5235805,A
PS(18:0/18:1)-H,PS,(18:0/18:1),M-H,C42 H79 O10 N1 P1,788.545558,22.472198,N,1,788.5450095,788.5447105,A
PC(16:1/17:1)+HCOO,PC,(16:1/17:1),M+HCOO,C42 H79 O10 N1 P1,788.5463,18.892898,N,1,788.5457515,788.5447105,A
PE(18:1/22:6)+H,PE,(18:1/22:6),M+H,C45 H77 O8 N1 P1,790.53765,19.29634,P,1,790.5381985,790.5381335,A
PS(18:0/18:1)+H,PS,(18:0/18:1),M+H,C42 H81 O10 N1 P1,790.558383,32.797634,P,1,790.5589315,790.5592635,A
PC(15:0/18:1)+HCOO,PC,(15:0/18:1),M+HCOO,C42 H81 O10 N1 P1,790.561252,20.277561,N,1,790.5607035,790.5603605,A
PC(16:0/17:1)+HCOO,PC,(16:0/17:1),M+HCOO,C42 H81 O10 N1 P1,790.56347,20.823409,N,1,790.5629215,790.5603605,A
PE(18:0/22:5)-H,PE,(18:0/22:5),M-H,C45 H79 O8 N1 P1,792.554505,21.564177,N,1,792.5539565,792.5548805,A
PE(18:0/22:6)+H,PE,(18:0/22:6),M+H,C45 H79 O8 N1 P1,792.553414,21.036497,P,1,792.5539625,792.5537835,A
TG(16:1/12:0/18:1)+NH4,TG,(16:1/12:0/18:1),M+NH4,C49 H94 O6 N1,792.706575,28.018088,P,1,792.7071235,792.7075655,A
PE(18:0/22:5)+H,PE,(18:0/22:5),M+H,C45 H81 O8 N1 P1,794.567966,22.075968,P,1,794.5685145,794.5694335,A
PE(18:0/22:4)-H,PE,(18:0/22:4),M-H,C45 H81 O8 N1 P1,794.570838,23.206433,N,1,794.5702895,794.5705305,A
TG(18:1/14:0/14:0)+NH4,TG,(18:1/14:0/14:0),M+NH4,C49 H96 O6 N1,794.722025,28.435545,P,1,794.7225735,794.7232155,A
PE(18:0/22:3)-H,PE,(18:0/22:3),M-H,C45 H83 O8 N1 P1,796.585526,24.369707,N,1,796.5849775,796.5861805,A
PE(18:0/22:4)+H,PE,(18:0/22:4),M+H,C45 H83 O8 N1 P1,796.584477,23.139498,P,1,796.5850255,796.5850835,A
TG(16:0/14:0/16:0)+NH4,TG,(16:0/14:0/16:0),M+NH4,C49 H98 O6 N1,796.737555,28.989044,P,1,796.7381035,796.7388655,A
PC(16:1/18:3)+HCOO,PC,(16:1/18:3),M+HCOO,C43 H77 O10 N1 P1,798.530274,17.68905,N,1,798.5297255,798.5290605,A
PC(16:1/18:2)+HCOO,PC,(16:1/18:2),M+HCOO,C43 H79 O10 N1 P1,800.545073,18.270771,N,1,800.5445245,800.5447105,A
PC(16:2/18:1)+HCOO,PC,(16:2/18:1),M+HCOO,C43 H79 O10 N1 P1,800.545383,19.135067,N,1,800.5448345,800.5447105,A
PE(18:1p/24:6)-H,PE,(18:1p/24:6),M-H,C47 H79 O7 N1 P1,800.557439,21.568729,N,1,800.5568905,800.5599655,A
PE(18:0/22:1)-H,PE,(18:0/22:1),M-H,C45 H87 O8 N1 P1,800.618576,26.340449,N,1,800.6180275,800.6174805,A
PC(16:1/18:1)+HCOO,PC,(16:1/18:1),M+HCOO,C43 H81 O10 N1 P1,802.560693,19.675986,N,1,802.5601445,802.5603605,A
PC(16:0/18:1)+HCOO,PC,(16:0/18:1),M+HCOO,C43 H83 O10 N1 P1,804.576408,21.268197,N,1,804.5758595,804.5760105,A
PC(18:0/16:0)+HCOO,PC,(18:0/16:0),M+HCOO,C43 H85 O10 N1 P1,806.592272,23.443554,N,1,806.5917235,806.5916605,A
TG(16:0/15:1/16:1)+NH4,TG,(16:0/15:1/16:1),M+NH4,C50 H96 O6 N1,806.722621,28.334165,P,1,806.7231695,806.7232155,A
PA(26:4/18:0)-H,PA,(26:4/18:0),M-H,C47 H84 O8 N0 P1,807.585879,21.089812,N,1,807.5853305,807.5909315,A
TG(15:0/14:0/18:1)+NH4,TG,(15:0/14:0/18:1),M+NH4,C50 H98 O6 N1,808.737197,28.744705,P,1,808.7377455,808.7388655,A
PE(18:1p/24:1)-H,PE,(18:1p/24:1),M-H,C47 H89 O7 N1 P1,810.638159,27.030658,N,1,810.6376105,810.6382155,A
PE(18:0p/24:2)-H,PE,(18:0p/24:2),M-H,C47 H89 O7 N1 P1,810.641664,27.615102,N,1,810.6411155,810.6382155,A
CerG1(d18:1/24:1)+H,CerG1,(d18:1/24:1),M+H,C48 H92 O8 N1,810.680753,25.325055,P,1,810.6813015,810.6817455,A
PS(18:0/20:4)+H,PS,(18:0/20:4),M+H,C44 H79 O10 N1 P1,812.544177,17.557873,P,1,812.5447255,812.5436135,A
CerG1(d18:1/24:0)+H,CerG1,(d18:1/24:0),M+H,C48 H94 O8 N1,812.695782,26.901706,P,1,812.6963305,812.6973955,A
PS(18:0/20:3)+H,PS,(18:0/20:3),M+H,C44 H81 O10 N1 P1,814.558433,18.097987,P,1,814.5589815,814.5592635,A
PS(18:0/20:1)-H,PS,(18:0/20:1),M-H,C44 H83 O10 N1 P1,816.576397,24.167049,N,1,816.5758485,816.5760105,A
PC(17:1/18:1)+HCOO,PC,(17:1/18:1),M+HCOO,C44 H83 O10 N1 P1,816.577771,20.74947,N,1,816.5772225,816.5760105,A
PC(17:0/18:1)+HCOO,PC,(17:0/18:1),M+HCOO,C44 H85 O10 N1 P1,818.592936,22.403994,N,1,818.5923875,818.5916605,A
TG(16:1/14:0/18:1)+NH4,TG,(16:1/14:0/18:1),M+NH4,C51 H98 O6 N1,820.738583,29.261897,P,1,820.7391315,820.7388655,A
PC(16:1/20:5)+HCOO,PC,(16:1/20:5),M+HCOO,C45 H77 O10 N1 P1,822.530283,16.858401,N,1,822.5297345,822.5290605,A
TG(16:0/14:0/18:1)+NH4,TG,(16:0/14:0/18:1),M+NH4,C51 H100 O6 N1,822.752925,28.793124,P,1,822.7534735,822.7545155,A
TG(16:0/16:0/16:1)+NH4,TG,(16:0/16:0/16:1),M+NH4,C51 H100 O6 N1,822.753391,29.402801,P,1,822.7539395,822.7545155,A
PC(16:1/20:4)+HCOO,PC,(16:1/20:4),M+HCOO,C45 H79 O10 N1 P1,824.545698,18.372169,N,1,824.5451495,824.5447105,A
PE(18:1/24:2)-H,PE,(18:1/24:2),M-H,C47 H87 O8 N1 P1,824.615317,25.00713,N,1,824.6147685,824.6174805,A
PE(24:3/18:0)-H,PE,(24:3/18:0),M-H,C47 H87 O8 N1 P1,824.618026,25.568914,N,1,824.6174775,824.6174805,A
TG(16:0/16:0/16:0)+NH4,TG,(16:0/16:0/16:0),M+NH4,C51 H102 O6 N1,824.768849,29.949887,P,1,824.7693975,824.7701655,A
PC(16:0/20:4)+HCOO,PC,(16:0/20:4),M+HCOO,C45 H81 O10 N1 P1,826.560859,19.536359,N,1,826.5603105,826.5603605,A
PS(18:0/21:3)+H,PS,(18:0/21:3),M+H,C45 H83 O10 N1 P1,828.574399,22.122054,P,1,828.5749475,828.5749135,A
PC(18:1/18:2)+HCOO,PC,(18:1/18:2),M+HCOO,C45 H83 O10 N1 P1,828.576492,20.099382,N,1,828.5759435,828.5760105,A
PE(18:1/24:0)-H,PE,(18:1/24:0),M-H,C47 H91 O8 N1 P1,828.649737,27.409915,N,1,828.6491885,828.6487805,A
PC(18:1/18:1)+HCOO,PC,(18:1/18:1),M+HCOO,C45 H85 O10 N1 P1,830.592079,21.152506,N,1,830.5915305,830.5916605,A
PA(28:6/18:0)-H,PA,(28:6/18:0),M-H,C49 H84 O8 N0 P1,831.595764,21.997048,N,1,831.5952155,831.5909315,A
PC(18:0/18:1)+HCOO,PC,(18:0/18:1),M+HCOO,C45 H87 O10 N1 P1,832.608356,23.34925,N,1,832.6078075,832.6073105,A
PI(16:1/18:1)-H,PI,(16:1/18:1),M-H,C43 H78 O13 N0 P1,833.5188,18.787129,N,1,833.5182515,833.5185565,A
PA(28:5/18:0)-H,PA,(28:5/18:0),M-H,C49 H86 O8 N0 P1,833.611658,24.64114,N,1,833.6111095,833.6065815,A
TG(17:1/14:0/18:1)+NH4,TG,(17:1/14:0/18:1),M+NH4,C52 H100 O6 N1,834.753295,28.587822,P,1,834.7538435,834.7545155,A
PA(28:4/18:0)-H,PA,(28:4/18:0),M-H,C49 H88 O8 N0 P1,835.626065,25.214366,N,1,835.6255165,835.6222315,A
PS(18:0/22:6)+H,PS,(18:0/22:6),M+H,C46 H79 O10 N1 P1,836.540747,16.925251,P,1,836.5412955,836.5436135,A
PC(18:0/22:5)+H,PC,(18:0/22:5),M+H,C48 H87 O8 N1 P1,836.613546,20.957999,P,1,836.6140945,836.6163835,A
TG(16:0/15:0/18:1)+NH4,TG,(16:0/15:0/18:1),M+NH4,C52 H102 O6 N1,836.76839,29.098366,P,1,836.7689385,836.7701655,A
PS(18:0/22:5)+H,PS,(18:0/22:5),M+H,C46 H81 O10 N1 P1,838.556789,20.388938,P,1,838.5573375,838.5592635,A
CerG1(d18:1/26:1)+H,CerG1,(d18:1/26:1),M+H,C50 H96 O8 N1,838.711531,26.365769,P,1,838.7120795,838.7130455,A
PC(17:1/20:3)+HCOO,PC,(17:1/20:3),M+HCOO,C46 H83 O10 N1 P1,840.575539,19.929309,N,1,840.5749905,840.5760105,A
PC(16:0/21:3)+HCOO,PC,(16:0/21:3),M+HCOO,C46 H85 O10 N1 P1,842.591536,21.189535,N,1,842.5909875,842.5916605,A
TG(14:0/14:0/22:5)+NH4,TG,(14:0/14:0/22:5),M+NH4,C53 H96 O6 N1,842.722797,27.969621,P,1,842.7233455,842.7232155,A
PC(18:1/19:1)+HCOO,PC,(18:1/19:1),M+HCOO,C46 H87 O10 N1 P1,844.607993,22.369295,N,1,844.6074445,844.6073105,A
PC(16:0/21:1)+HCOO,PC,(16:0/21:1),M+HCOO,C46 H89 O10 N1 P1,846.62408,23.533567,N,1,846.6235315,846.6229605,A
TG(16:1/16:1/18:1)+NH4,TG,(16:1/16:1/18:1),M+NH4,C53 H100 O6 N1,846.753151,28.433267,P,1,846.7536995,846.7545155,A
PC(16:1/22:6)+HCOO,PC,(16:1/22:6),M+HCOO,C47 H79 O10 N1 P1,848.54501,17.875981,N,1,848.5444615,848.5447105,A
TG(16:0/16:1/18:1)+NH4,TG,(16:0/16:1/18:1),M+NH4,C53 H102 O6 N1,848.769216,28.982182,P,1,848.7697645,848.7701655,A
PC(16:0/22:6)+HCOO,PC,(16:0/22:6),M+HCOO,C47 H81 O10 N1 P1,850.560962,18.991794,N,1,850.5604135,850.5603605,A
PC(18:1/20:5)+HCOO,PC,(18:1/20:5),M+HCOO,C47 H81 O10 N1 P1,850.561087,18.422869,N,1,850.5605385,850.5603605,A
TG(16:0/16:0/18:1)+NH4,TG,(16:0/16:0/18:1),M+NH4,C53 H104 O6 N1,850.784368,29.497432,P,1,850.7849165,850.7858155,A
PC(18:1/20:4)+HCOO,PC,(18:1/20:4),M+HCOO,C47 H83 O10 N1 P1,852.57649,19.534084,N,1,852.5759415,852.5760105,A
TG(18:0/16:0/16:0)+NH4,TG,(18:0/16:0/16:0),M+NH4,C53 H106 O6 N1,852.801288,30.89876,P,1,852.8018365,852.8014655,A
PI(16:0/18:1)+NH4,PI,(16:0/18:1),M+NH4,C43 H85 O13 N1 P1,854.576294,20.648536,P,1,854.5768425,854.5753085,A
PC(18:1/20:3)+HCOO,PC,(18:1/20:3),M+HCOO,C47 H85 O10 N1 P1,854.591684,20.590716,N,1,854.5911355,854.5916605,A
PC(18:0/20:4)+HCOO,PC,(18:0/20:4),M+HCOO,C47 H85 O10 N1 P1,854.592027,21.124572,N,1,854.5914785,854.5916605,A
PI(16:1/20:4)-H,PI,(16:1/20:4),M-H,C45 H76 O13 N0 P1,855.504436,17.231914,N,1,855.5038875,855.5029065,A
PI(16:0/20:5)-H,PI,(16:0/20:5),M-H,C45 H76 O13 N0 P1,855.505681,17.825219,N,1,855.5051325,855.5029065,A
PC(18:0/20:3)+HCOO,PC,(18:0/20:3),M+HCOO,C47 H87 O10 N1 P1,856.607811,22.202008,N,1,856.6072625,856.6073105,A
PI(16:0/20:4)-H,PI,(16:0/20:4),M-H,C45 H78 O13 N0 P1,857.519103,18.890623,N,1,857.5185545,857.5185565,A
PI(18:1/18:3)-H,PI,(18:1/18:3),M-H,C45 H78 O13 N0 P1,857.519581,18.323692,N,1,857.5190325,857.5185565,A
PC(20:1/18:1)+HCOO,PC,(20:1/18:1),M+HCOO,C47 H89 O10 N1 P1,858.622442,22.762869,N,1,858.6218935,858.6229605,A
TG(16:2/17:1/18:1)+NH4,TG,(16:2/17:1/18:1),M+NH4,C54 H100 O6 N1,858.753757,28.48633,P,1,858.7543055,858.7545155,A
PI(16:0/20:3)-H,PI,(16:0/20:3),M-H,C45 H80 O13 N0 P1,859.535182,19.998913,N,1,859.5346335,859.5342065,A
PI(18:0/18:2)-H,PI,(18:0/18:2),M-H,C45 H82 O13 N0 P1,861.549046,21.625985,N,1,861.5484975,861.5498565,A
PI(18:1/18:1)-H,PI,(18:1/18:1),M-H,C45 H82 O13 N0 P1,861.549951,20.553191,N,1,861.5494025,861.5498565,A
TG(16:0/17:1/18:1)+NH4,TG,(16:0/17:1/18:1),M+NH4,C54 H104 O6 N1,862.783711,28.940605,P,1,862.7842595,862.7858155,A
PI(18:0/18:1)-H,PI,(18:0/18:1),M-H,C45 H84 O13 N0 P1,863.566221,22.371571,N,1,863.5656725,863.5655065,A
TG(16:1/14:0/22:6)+NH4,TG,(16:1/14:0/22:6),M+NH4,C55 H96 O6 N1,866.722101,27.748594,P,1,866.7226495,866.7232155,A
TG(16:1/14:0/22:5)+NH4,TG,(16:1/14:0/22:5),M+NH4,C55 H98 O6 N1,868.737974,27.914388,P,1,868.7385225,868.7388655,A
PI(17:1/20:4)-H,PI,(17:1/20:4),M-H,C46 H78 O13 N0 P1,869.519514,18.12336,N,1,869.5189655,869.5185565,A
PC(18:0/21:3)+HCOO,PC,(18:0/21:3),M+HCOO,C48 H89 O10 N1 P1,870.623413,22.767392,N,1,870.6228645,870.6229605,A
TG(16:0/14:0/22:5)+NH4,TG,(16:0/14:0/22:5),M+NH4,C55 H100 O6 N1,870.753438,28.428747,P,1,870.7539865,870.7545155,A
PI(17:0/20:4)-H,PI,(17:0/20:4),M-H,C46 H80 O13 N0 P1,871.533941,19.543157,N,1,871.5333925,871.5342065,A
PI(17:1/20:3)-H,PI,(17:1/20:3),M-H,C46 H80 O13 N0 P1,871.536313,19.00539,N,1,871.5357645,871.5342065,A
PC(18:1/21:1)+HCOO,PC,(18:1/21:1),M+HCOO,C48 H91 O10 N1 P1,872.640162,24.063492,N,1,872.6396135,872.6386105,A
PI(17:0/20:3)-H,PI,(17:0/20:3),M-H,C46 H82 O13 N0 P1,873.549433,20.721505,N,1,873.5488845,873.5498565,A
PI(16:0/21:3)-H,PI,(16:0/21:3),M-H,C46 H82 O13 N0 P1,873.551271,20.160668,N,1,873.5507225,873.5498565,A
TG(16:1/18:1/18:1)+NH4,TG,(16:1/18:1/18:1),M+NH4,C55 H104 O6 N1,874.783897,28.737843,P,1,874.7844455,874.7858155,A
PI(16:0/20:4)+NH4,PI,(16:0/20:4),M+NH4,C45 H83 O13 N1 P1,876.558345,18.920413,P,1,876.5588935,876.5596585,A
PI(18:2/18:2)+NH4,PI,(18:2/18:2),M+NH4,C45 H83 O13 N1 P1,876.558591,18.406496,P,1,876.5591395,876.5596585,A
PC(22:5/18:2)+HCOO,PC,(22:5/18:2),M+HCOO,C49 H83 O10 N1 P1,876.576725,18.522019,N,1,876.5761765,876.5760105,A
PC(18:1/22:6)+HCOO,PC,(18:1/22:6),M+HCOO,C49 H83 O10 N1 P1,876.576874,19.093415,N,1,876.5763255,876.5760105,A
TG(16:0/18:1/18:1)+NH4,TG,(16:0/18:1/18:1),M+NH4,C55 H106 O6 N1,876.799627,29.252759,P,1,876.8001755,876.8014655,A
PC(18:1/22:5)+HCOO,PC,(18:1/22:5),M+HCOO,C49 H85 O10 N1 P1,878.591226,19.627792,N,1,878.5906775,878.5916605,A
PC(18:0/22:6)+HCOO,PC,(18:0/22:6),M+HCOO,C49 H85 O10 N1 P1,878.59212,20.684487,N,1,878.5915715,878.5916605,A
TG(18:0/16:0/18:1)+NH4,TG,(18:0/16:0/18:1),M+NH4,C55 H108 O6 N1,878.815293,30.32,P,1,878.8158415,878.8171155,A
PI(18:1/18:1)+NH4,PI,(18:1/18:1),M+NH4,C45 H87 O13 N1 P1,880.590194,20.532355,P,1,880.5907425,880.5909585,A
PC(18:1/22:4)+HCOO,PC,(18:1/22:4),M+HCOO,C49 H87 O10 N1 P1,880.607418,20.555466,N,1,880.6068695,880.6073105,A
PC(18:0/22:5)+HCOO,PC,(18:0/22:5),M+HCOO,C49 H87 O10 N1 P1,880.60758,21.216066,N,1,880.6070315,880.6073105,A
TG(18:0/16:0/18:0)+NH4,TG,(18:0/16:0/18:0),M+NH4,C55 H110 O6 N1,880.830367,30.850331,P,1,880.8309155,880.8327655,A
PI(18:1/20:5)-H,PI,(18:1/20:5),M-H,C47 H78 O13 N0 P1,881.520342,18.049158,N,1,881.5197935,881.5185565,A
PC(18:0/22:4)+HCOO,PC,(18:0/22:4),M+HCOO,C49 H89 O10 N1 P1,882.623614,22.841479,N,1,882.6230655,882.6229605,A
PC(18:1/22:3)+HCOO,PC,(18:1/22:3),M+HCOO,C49 H89 O10 N1 P1,882.623927,22.299885,N,1,882.6233785,882.6229605,A
PI(18:1/20:4)-H,PI,(18:1/20:4),M-H,C47 H80 O13 N0 P1,883.534956,19.09114,N,1,883.5344075,883.5342065,A
PC(18:1/22:2)+HCOO,PC,(18:1/22:2),M+HCOO,C49 H91 O10 N1 P1,884.638249,23.402057,N,1,884.6377005,884.6386105,A
PC(18:0/22:3)+HCOO,PC,(18:0/22:3),M+HCOO,C49 H91 O10 N1 P1,884.639725,23.946332,N,1,884.6391765,884.6386105,A
PI(18:1/20:4)+H,PI,(18:1/20:4),M+H,C47 H82 O13 N0 P1,885.548449,19.305398,P,1,885.5489975,885.5487595,A
