m/z,var_m/z,max_int,sum_int,RT,minRT,maxRT,part_ID,EIC_ID,peak_ID,Score
328.9844259,1.24E-09,30381280,88035650,1242.59,1236.82,1242.59,6234,6654,6895,0
106.0411331,7.57E-11,29636096,90194487,154.464,152.086,163.21,1561,1957,1254,0
142.996109,2.33E-10,29616924,80768954,1236.82,1233.67,1239.3,2512,3015,2498,0
119.0170277,4.71E-11,29467520,192425948,1681.29,1673.67,1688.63,1936,2371,1682,0
119.0170415,1.94E-11,29154318,83580376,1692.94,1690.58,1695.43,1936,2371,1683,0
192.0488701,1.21E-08,28920018,60306846.59,210.279,204.623,226.001,3582,4106,3889,0
387.026413,4.66E-10,28797814,53268622,1217.7,1214.41,1217.7,7107,7453,7801,0
131.0907154,2.02E-09,28440736,88478419.25,587.182,582.159,600.941,2236,2716,2134,0
179.0381215,5.43E-10,28140710,77563908,1570.33,1567.03,1572.15,3308,3834,3543,0
142.9960887,7.76E-11,28122106,73715530,1261.53,1258.37,1263.88,2512,3015,2499,0
142.996109,0,28107602,75334454,1231.32,1225.82,1231.32,2512,3015,2500,0
482.9615753,1.38E-07,28076092,90528459.63,619.164,610.912,632.841,8329,8551,9159,0
565.0480194,8.38E-09,28021864,39357492,589.396,587.182,595.031,9118,9256,10095,0
387.0264791,5.90E-09,27720370,77691900,1236.82,1236.82,1242.59,7107,7453,7802,0
256.0771397,6.23E-08,27569092,65284747.84,536.154,531.312,545.957,4900,5397,5475,0
190.0721995,5.25E-08,27348186,35664907.81,528.817,526.315,531.312,3547,4069,3833,0
179.0381378,6.98E-11,27236358,130214912,1579.49,1575.18,1585.15,3308,3834,3544,0
130.0873277,8.41E-11,27228480,210540304,630.093,621.376,640.198,2206,2682,2081,0
106.0411282,1.46E-11,27095720,79798629,222.694,216.876,226.001,1561,1957,1255,0
179.0381012,1.16E-10,27012766,125211570,1604,1601.64,1611.48,3308,3834,3545,0
94.98068237,3.88E-11,26796702,95718556,17.2721,14.2308,20.5608,1250,1612,932,0
410.9875565,2.72E-09,26275932,88826376,1217.7,1211.79,1220.18,7439,7757,8159,0
334.0953403,4.22E-08,26188092,55429666.9,210.279,204.623,229.038,6339,6750,7007,0
71.0138607,5.75E-10,26057846,138996073.8,637.18,623.049,670.575,470,787,428,0
94.98068237,2.91E-11,25822294,118504492,74.9413,71.2839,79.2724,1250,1612,933,0
94.98068746,1.94E-11,25821610,75890974,2.34889,2.34889,7.8854,1250,1612,934,0
112.9857063,4.60E-10,25752054,85668798.19,171.271,154.464,193.297,1762,2169,1444,0
283.2644566,1.46E-09,25716046,56860277.63,171.271,166.389,183.405,5452,5928,6081,0
